site,treatment,date,year,month,depth_m,variable,value
n2,fert,1990-06-28T00:00:00Z,1990,6,3,chl_ug_l,4.66
n2,fert,1990-06-28T00:00:00Z,1990,6,3,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,5,temp_c,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,5,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,5,do_mg_l,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,5,chl_ug_l,15.08
n2,fert,1990-06-28T00:00:00Z,1990,6,5,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,8,temp_c,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,8,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,8,do_mg_l,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,8,chl_ug_l,10.02
n2,fert,1990-06-28T00:00:00Z,1990,6,8,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0,temp_c,17.8
n2,fert,1990-07-05T00:00:00Z,1990,7,0,cond_u_s,120
n2,fert,1990-07-05T00:00:00Z,1990,7,0,do_mg_l,9.4
n2,fert,1990-07-05T00:00:00Z,1990,7,0,chl_ug_l,5.58
n2,fert,1990-07-05T00:00:00Z,1990,7,0,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.1,temp_c,17.79
n2,fert,1990-07-05T00:00:00Z,1990,7,0.1,cond_u_s,120.9
n2,fert,1990-07-05T00:00:00Z,1990,7,0.1,do_mg_l,9.38
n2,fert,1990-07-05T00:00:00Z,1990,7,0.1,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.1,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.2,temp_c,17.78
n2,fert,1990-07-05T00:00:00Z,1990,7,0.2,cond_u_s,121.8
n2,fert,1990-07-05T00:00:00Z,1990,7,0.2,do_mg_l,9.36
n2,fert,1990-07-05T00:00:00Z,1990,7,0.2,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.2,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.5,temp_c,17.75
n2,fert,1990-07-05T00:00:00Z,1990,7,0.5,cond_u_s,124.5
n2,fert,1990-07-05T00:00:00Z,1990,7,0.5,do_mg_l,9.3
n2,fert,1990-07-05T00:00:00Z,1990,7,0.5,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,0.5,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,1,temp_c,17.7
n2,fert,1990-07-05T00:00:00Z,1990,7,1,cond_u_s,129
n2,fert,1990-07-05T00:00:00Z,1990,7,1,do_mg_l,9.2
n2,fert,1990-07-05T00:00:00Z,1990,7,1,chl_ug_l,13.65
n2,fert,1990-07-05T00:00:00Z,1990,7,1,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,2,temp_c,17.4
n2,fert,1990-07-05T00:00:00Z,1990,7,2,cond_u_s,128
n2,fert,1990-07-05T00:00:00Z,1990,7,2,do_mg_l,9.1
n2,fert,1990-07-05T00:00:00Z,1990,7,2,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,2,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,3,temp_c,10.5
n2,fert,1990-07-05T00:00:00Z,1990,7,3,cond_u_s,115
n2,fert,1990-07-05T00:00:00Z,1990,7,3,do_mg_l,10.4
n2,fert,1990-07-05T00:00:00Z,1990,7,3,chl_ug_l,9.97
n2,fert,1990-07-05T00:00:00Z,1990,7,3,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,4,temp_c,7
n2,fert,1990-07-05T00:00:00Z,1990,7,4,cond_u_s,105
n2,fert,1990-07-05T00:00:00Z,1990,7,4,do_mg_l,10.55
n2,fert,1990-07-05T00:00:00Z,1990,7,4,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,4,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,5,temp_c,5
n2,fert,1990-07-05T00:00:00Z,1990,7,5,cond_u_s,102
n2,fert,1990-07-05T00:00:00Z,1990,7,5,do_mg_l,7.3
n2,fert,1990-07-05T00:00:00Z,1990,7,5,chl_ug_l,14.52
n2,fert,1990-07-05T00:00:00Z,1990,7,5,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,6,temp_c,4.4
n2,fert,1990-07-05T00:00:00Z,1990,7,6,cond_u_s,105
n2,fert,1990-07-05T00:00:00Z,1990,7,6,do_mg_l,5.6
n2,fert,1990-07-05T00:00:00Z,1990,7,6,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,6,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,7,temp_c,4
n2,fert,1990-07-05T00:00:00Z,1990,7,7,cond_u_s,108
n2,fert,1990-07-05T00:00:00Z,1990,7,7,do_mg_l,3.75
n2,fert,1990-07-05T00:00:00Z,1990,7,7,chl_ug_l,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,7,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,8,temp_c,3.8
n2,fert,1990-07-05T00:00:00Z,1990,7,8,cond_u_s,112
n2,fert,1990-07-05T00:00:00Z,1990,7,8,do_mg_l,1.12
n2,fert,1990-07-05T00:00:00Z,1990,7,8,chl_ug_l,13.3
n2,fert,1990-07-05T00:00:00Z,1990,7,8,secchi_m,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,0,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,0,cond_u_s,120
n2,fert,1990-07-12T00:00:00Z,1990,7,0,do_mg_l,10
n2,fert,1990-07-12T00:00:00Z,1990,7,0,chl_ug_l,12.27
n2,fert,1990-07-12T00:00:00Z,1990,7,0,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,0.1,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,0.1,cond_u_s,120.1
n2,fert,1990-07-12T00:00:00Z,1990,7,0.1,do_mg_l,10.01
n2,fert,1990-07-12T00:00:00Z,1990,7,0.1,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,0.1,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,0.2,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,0.2,cond_u_s,120.2
n2,fert,1990-07-12T00:00:00Z,1990,7,0.2,do_mg_l,10.02
n2,fert,1990-07-12T00:00:00Z,1990,7,0.2,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,0.2,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,0.5,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,0.5,cond_u_s,120.5
n2,fert,1990-07-12T00:00:00Z,1990,7,0.5,do_mg_l,10.05
n2,fert,1990-07-12T00:00:00Z,1990,7,0.5,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,0.5,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,1,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,1,cond_u_s,121
n2,fert,1990-07-12T00:00:00Z,1990,7,1,do_mg_l,10.1
n2,fert,1990-07-12T00:00:00Z,1990,7,1,chl_ug_l,13.12
n2,fert,1990-07-12T00:00:00Z,1990,7,1,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,2,temp_c,16
n2,fert,1990-07-12T00:00:00Z,1990,7,2,cond_u_s,121
n2,fert,1990-07-12T00:00:00Z,1990,7,2,do_mg_l,10.4
n2,fert,1990-07-12T00:00:00Z,1990,7,2,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,2,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,3,temp_c,12.5
n2,fert,1990-07-12T00:00:00Z,1990,7,3,cond_u_s,120
n2,fert,1990-07-12T00:00:00Z,1990,7,3,do_mg_l,10.6
n2,fert,1990-07-12T00:00:00Z,1990,7,3,chl_ug_l,3.05
n2,fert,1990-07-12T00:00:00Z,1990,7,3,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,4,temp_c,9
n2,fert,1990-07-12T00:00:00Z,1990,7,4,cond_u_s,110
n2,fert,1990-07-12T00:00:00Z,1990,7,4,do_mg_l,11
n2,fert,1990-07-12T00:00:00Z,1990,7,4,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,4,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,5,temp_c,7
n2,fert,1990-07-12T00:00:00Z,1990,7,5,cond_u_s,103
n2,fert,1990-07-12T00:00:00Z,1990,7,5,do_mg_l,8.2
n2,fert,1990-07-12T00:00:00Z,1990,7,5,chl_ug_l,3.89
n2,fert,1990-07-12T00:00:00Z,1990,7,5,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,6,temp_c,5.2
n2,fert,1990-07-12T00:00:00Z,1990,7,6,cond_u_s,107
n2,fert,1990-07-12T00:00:00Z,1990,7,6,do_mg_l,4.9
n2,fert,1990-07-12T00:00:00Z,1990,7,6,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,6,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,7,temp_c,5
n2,fert,1990-07-12T00:00:00Z,1990,7,7,cond_u_s,120
n2,fert,1990-07-12T00:00:00Z,1990,7,7,do_mg_l,1.8
n2,fert,1990-07-12T00:00:00Z,1990,7,7,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,7,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,8,temp_c,4.8
n2,fert,1990-07-12T00:00:00Z,1990,7,8,cond_u_s,120
n2,fert,1990-07-12T00:00:00Z,1990,7,8,do_mg_l,0.6
n2,fert,1990-07-12T00:00:00Z,1990,7,8,chl_ug_l,6.05
n2,fert,1990-07-12T00:00:00Z,1990,7,8,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,9,temp_c,4.5
n2,fert,1990-07-12T00:00:00Z,1990,7,9,cond_u_s,121
n2,fert,1990-07-12T00:00:00Z,1990,7,9,do_mg_l,0.5
n2,fert,1990-07-12T00:00:00Z,1990,7,9,chl_ug_l,NA
n2,fert,1990-07-12T00:00:00Z,1990,7,9,secchi_m,3.5
n2,fert,1990-07-19T00:00:00Z,1990,7,0,temp_c,14.8
n2,fert,1990-07-19T00:00:00Z,1990,7,0,cond_u_s,119
n2,fert,1990-07-19T00:00:00Z,1990,7,0,do_mg_l,9
n2,fert,1990-07-19T00:00:00Z,1990,7,0,chl_ug_l,11.06
n2,fert,1990-07-19T00:00:00Z,1990,7,0,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,0.1,temp_c,14.78
