site,date,year,month,variable,value
toolik,1992-07-21T00:00:00Z,1992,7,temp_c,14.266666666666667
toolik,1992-07-28T00:00:00Z,1992,7,chl_ug_l,NA
toolik,1992-07-28T00:00:00Z,1992,7,cond_u_s,31.333333333333332
toolik,1992-07-28T00:00:00Z,1992,7,do_mg_l,9.366666666666667
toolik,1992-07-28T00:00:00Z,1992,7,secchi_m,4.9
toolik,1992-07-28T00:00:00Z,1992,7,temp_c,14.9
toolik,1992-08-04T00:00:00Z,1992,8,chl_ug_l,0.5982244999999999
toolik,1992-08-04T00:00:00Z,1992,8,cond_u_s,44.333333333333336
toolik,1992-08-04T00:00:00Z,1992,8,do_mg_l,10.266666666666666
toolik,1992-08-04T00:00:00Z,1992,8,secchi_m,5.2
toolik,1992-08-04T00:00:00Z,1992,8,temp_c,13
toolik,1992-08-11T00:00:00Z,1992,8,chl_ug_l,0.5660894999999999
toolik,1992-08-11T00:00:00Z,1992,8,cond_u_s,NA
toolik,1992-08-11T00:00:00Z,1992,8,do_mg_l,NA
toolik,1992-08-11T00:00:00Z,1992,8,secchi_m,NA
toolik,1992-08-11T00:00:00Z,1992,8,temp_c,NA
toolik,1992-08-20T00:00:00Z,1992,8,chl_ug_l,NA
toolik,1992-08-20T00:00:00Z,1992,8,cond_u_s,NA
toolik,1992-08-20T00:00:00Z,1992,8,do_mg_l,NA
toolik,1992-08-20T00:00:00Z,1992,8,secchi_m,5.3
toolik,1992-08-20T00:00:00Z,1992,8,temp_c,7
toolik,1993-05-16T00:00:00Z,1993,5,chl_ug_l,NA
toolik,1993-05-16T00:00:00Z,1993,5,cond_u_s,87
toolik,1993-05-16T00:00:00Z,1993,5,do_mg_l,11.9357762
toolik,1993-05-16T00:00:00Z,1993,5,secchi_m,NA
toolik,1993-05-16T00:00:00Z,1993,5,temp_c,1.45
toolik,1993-06-08T00:00:00Z,1993,6,chl_ug_l,NA
toolik,1993-06-08T00:00:00Z,1993,6,cond_u_s,35.03333333333333
toolik,1993-06-08T00:00:00Z,1993,6,do_mg_l,9.780000000000001
toolik,1993-06-08T00:00:00Z,1993,6,secchi_m,NA
toolik,1993-06-08T00:00:00Z,1993,6,temp_c,4.04
toolik,1993-06-14T00:00:00Z,1993,6,chl_ug_l,2.5030845
toolik,1993-06-14T00:00:00Z,1993,6,cond_u_s,41.650000000000006
toolik,1993-06-14T00:00:00Z,1993,6,do_mg_l,9.364999999999998
toolik,1993-06-14T00:00:00Z,1993,6,secchi_m,4.2
toolik,1993-06-14T00:00:00Z,1993,6,temp_c,3.76
toolik,1993-06-21T00:00:00Z,1993,6,chl_ug_l,3.901239
toolik,1993-06-21T00:00:00Z,1993,6,cond_u_s,43.25
toolik,1993-06-21T00:00:00Z,1993,6,do_mg_l,10.03
toolik,1993-06-21T00:00:00Z,1993,6,secchi_m,3.2
toolik,1993-06-21T00:00:00Z,1993,6,temp_c,7.75
toolik,1993-06-28T00:00:00Z,1993,6,chl_ug_l,1.606687
toolik,1993-06-28T00:00:00Z,1993,6,cond_u_s,43.55
toolik,1993-06-28T00:00:00Z,1993,6,do_mg_l,10.254999999999999
toolik,1993-06-28T00:00:00Z,1993,6,secchi_m,3.7
toolik,1993-06-28T00:00:00Z,1993,6,temp_c,9.16
toolik,1993-07-05T00:00:00Z,1993,7,chl_ug_l,1.52588
toolik,1993-07-05T00:00:00Z,1993,7,cond_u_s,44.733333333333334
toolik,1993-07-05T00:00:00Z,1993,7,do_mg_l,8.656666666666666
toolik,1993-07-05T00:00:00Z,1993,7,secchi_m,4.3
toolik,1993-07-05T00:00:00Z,1993,7,temp_c,13.846666666666666
toolik,1993-07-12T00:00:00Z,1993,7,chl_ug_l,0.827742
toolik,1993-07-12T00:00:00Z,1993,7,cond_u_s,45.5
toolik,1993-07-12T00:00:00Z,1993,7,do_mg_l,8.49
