site,date,year,month,depth_m,variable,value
toolik,1990-06-26T00:00:00Z,1990,6,0.5,temp_c,9.025
toolik,1990-06-26T00:00:00Z,1990,6,0.5,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,0.5,do_mg_l,10.5
toolik,1990-06-26T00:00:00Z,1990,6,0.5,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,0.5,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,1,temp_c,9
toolik,1990-06-26T00:00:00Z,1990,6,1,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,1,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,1,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,1,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,2,temp_c,8.9
toolik,1990-06-26T00:00:00Z,1990,6,2,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,2,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,2,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,2,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,3,temp_c,8.5
toolik,1990-06-26T00:00:00Z,1990,6,3,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,3,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,3,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,3,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,4,temp_c,8.25
toolik,1990-06-26T00:00:00Z,1990,6,4,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,4,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,4,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,4,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,5,temp_c,8.15
toolik,1990-06-26T00:00:00Z,1990,6,5,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,5,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,5,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,5,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,6,temp_c,7.95
toolik,1990-06-26T00:00:00Z,1990,6,6,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,6,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,6,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,6,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,7,temp_c,7.05
toolik,1990-06-26T00:00:00Z,1990,6,7,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,7,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,7,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,7,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,8,temp_c,6.75
toolik,1990-06-26T00:00:00Z,1990,6,8,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,8,do_mg_l,10.3
toolik,1990-06-26T00:00:00Z,1990,6,8,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,8,secchi_m,4
